ds,location_4,location_41
2023-04-01 00:00:00,903,975
2023-04-01 01:00:00,490,652
2023-04-01 02:00:00,377,434
2023-04-01 03:00:00,216,336
2023-04-01 04:00:00,124,115
2023-04-01 05:00:00,72,195
2023-04-01 06:00:00,138,328
2023-04-01 07:00:00,249,466
2023-04-01 08:00:00,733,1094
2023-04-01 09:00:00,1370,2006
2023-04-01 10:00:00,2150,2691
2023-04-01 11:00:00,3187,3565
2023-04-01 12:00:00,3746,3671
2023-04-01 13:00:00,4264,4022
2023-04-01 14:00:00,4827,4472
2023-04-01 15:00:00,4868,4266
2023-04-01 16:00:00,4399,4233
2023-04-01 17:00:00,4237,4199
2023-04-01 18:00:00,4594,4682
2023-04-01 19:00:00,4205,4253
2023-04-01 20:00:00,3584,3039
2023-04-01 21:00:00,2821,2972
2023-04-01 22:00:00,2380,2834
2023-04-01 23:00:00,1502,1775
2023-04-02 00:00:00,945,1227
2023-04-02 01:00:00,697,852
2023-04-02 02:00:00,543,663
2023-04-02 03:00:00,249,178
2023-04-02 04:00:00,86,135
2023-04-02 05:00:00,86,202
2023-04-02 06:00:00,153,329
2023-04-02 07:00:00,343,618
2023-04-02 08:00:00,651,952
2023-04-02 09:00:00,1173,1615
2023-04-02 10:00:00,2073,2478
2023-04-02 11:00:00,3127,3344
2023-04-02 12:00:00,3563,3829
2023-04-02 13:00:00,3723,3794
2023-04-02 14:00:00,4525,4232
2023-04-02 15:00:00,3913,3798
2023-04-02 16:00:00,3823,3583
2023-04-02 17:00:00,3781,3609
2023-04-02 18:00:00,3759,4137
2023-04-02 19:00:00,3375,3462
2023-04-02 20:00:00,2031,2102
2023-04-02 21:00:00,1734,1918
2023-04-02 22:00:00,854,1118
2023-04-02 23:00:00,459,516
2023-04-03 00:00:00,235,233
2023-04-03 01:00:00,119,139
2023-04-03 02:00:00,69,62
2023-04-03 03:00:00,36,58
2023-04-03 04:00:00,65,70
2023-04-03 05:00:00,73,159
2023-04-03 06:00:00,174,526
2023-04-03 07:00:00,444,1097
2023-04-03 08:00:00,1033,2343
2023-04-03 09:00:00,1414,2278
2023-04-03 10:00:00,2247,2585
2023-04-03 11:00:00,3131,3079
2023-04-03 12:00:00,3636,3628
2023-04-03 13:00:00,4102,3815
2023-04-03 14:00:00,3511,3436
2023-04-03 15:00:00,3389,3349
2023-04-03 16:00:00,3243,3393
2023-04-03 17:00:00,3166,3847
2023-04-03 18:00:00,2614,2675
2023-04-03 19:00:00,1829,1916
2023-04-03 20:00:00,1279,1476
2023-04-03 21:00:00,1071,1177
2023-04-03 22:00:00,695,747
2023-04-03 23:00:00,306,430
2023-04-04 00:00:00,105,156
2023-04-04 01:00:00,39,68
2023-04-04 02:00:00,39,63
2023-04-04 03:00:00,25,55
2023-04-04 04:00:00,24,39
2023-04-04 05:00:00,59,201
2023-04-04 06:00:00,197,577
2023-04-04 07:00:00,514,1312
2023-04-04 08:00:00,1099,2630
2023-04-04 09:00:00,1209,2147
2023-04-04 10:00:00,1771,2094
2023-04-04 11:00:00,2377,2561
2023-04-04 12:00:00,3424,3419
2023-04-04 13:00:00,3484,3303
2023-04-04 14:00:00,2977,2970
2023-04-04 15:00:00,2717,2931
2023-04-04 16:00:00,3089,3383
2023-04-04 17:00:00,3651,4471
2023-04-04 18:00:00,3126,3263
2023-04-04 19:00:00,2348,2278
2023-04-04 20:00:00,2053,2088
2023-04-04 21:00:00,1503,1892
2023-04-04 22:00:00,1107,1110
2023-04-04 23:00:00,362,511
2023-04-05 00:00:00,176,189
2023-04-05 01:00:00,158,107
2023-04-05 02:00:00,45,70
2023-04-05 03:00:00,31,74
2023-04-05 04:00:00,33,54
2023-04-05 05:00:00,67,233
2023-04-05 06:00:00,199,547
2023-04-05 07:00:00,516,1209
2023-04-05 08:00:00,1052,2423
2023-04-05 09:00:00,1304,2252
2023-04-05 10:00:00,1761,2174
2023-04-05 11:00:00,2404,2709
2023-04-05 12:00:00,3173,3270
2023-04-05 13:00:00,3487,3334
2023-04-05 14:00:00,2991,3048
2023-04-05 15:00:00,2856,2959
2023-04-05 16:00:00,3059,3229
2023-04-05 17:00:00,3465,3961
2023-04-05 18:00:00,2960,3042
2023-04-05 19:00:00,2308,2224
2023-04-05 20:00:00,1936,1952
2023-04-05 21:00:00,1498,1803
2023-04-05 22:00:00,1101,1356
2023-04-05 23:00:00,443,671
2023-04-06 00:00:00,232,239
2023-04-06 01:00:00,121,141
2023-04-06 02:00:00,41,86
2023-04-06 03:00:00,40,66
2023-04-06 04:00:00,52,111
2023-04-06 05:00:00,65,194
2023-04-06 06:00:00,205,587
2023-04-06 07:00:00,427,1052
2023-04-06 08:00:00,1072,2360
2023-04-06 09:00:00,1218,2016
2023-04-06 10:00:00,1604,2056
2023-04-06 11:00:00,2181,2380
2023-04-06 12:00:00,3204,2975
2023-04-06 13:00:00,3034,2689
2023-04-06 14:00:00,0,0
2023-04-06 15:00:00,1141,1169
2023-04-06 16:00:00,3347,3509
2023-04-06 17:00:00,2874,2570
2023-04-06 18:00:00,0,0
2023-04-06 19:00:00,0,0
2023-04-06 20:00:00,0,0
2023-04-06 21:00:00,213,158
2023-04-06 22:00:00,1520,1729
2023-04-06 23:00:00,967,1072
2023-04-07 00:00:00,485,486
2023-04-07 01:00:00,306,402
2023-04-07 02:00:00,227,221
2023-04-07 03:00:00,187,198
2023-04-07 04:00:00,104,185
2023-04-07 05:00:00,69,166
2023-04-07 06:00:00,77,138
2023-04-07 07:00:00,124,247
2023-04-07 08:00:00,290,515
2023-04-07 09:00:00,663,832
2023-04-07 10:00:00,1256,1333
2023-04-07 11:00:00,1956,2075
2023-04-07 12:00:00,2676,2846
2023-04-07 13:00:00,2810,2831
2023-04-07 14:00:00,3073,2891
2023-04-07 15:00:00,2836,3023
2023-04-07 16:00:00,2949,2906
2023-04-07 17:00:00,3031,3009
2023-04-07 18:00:00,2605,2461
2023-04-07 19:00:00,3033,2547
2023-04-07 20:00:00,2553,2294
2023-04-07 21:00:00,2280,2242
2023-04-07 22:00:00,1677,1841
2023-04-07 23:00:00,704,912
2023-04-08 00:00:00,637,611
2023-04-08 01:00:00,358,375
2023-04-08 02:00:00,259,290
2023-04-08 03:00:00,142,154
2023-04-08 04:00:00,63,115
2023-04-08 05:00:00,35,100
2023-04-08 06:00:00,63,151
2023-04-08 07:00:00,160,331
2023-04-08 08:00:00,460,546
2023-04-08 09:00:00,1103,1343
2023-04-08 10:00:00,1923,1972
2023-04-08 11:00:00,3142,2989
2023-04-08 12:00:00,3845,3573
2023-04-08 13:00:00,4555,3917
2023-04-08 14:00:00,4455,4078
2023-04-08 15:00:00,4459,3693
2023-04-08 16:00:00,3822,3587
2023-04-08 17:00:00,3915,3485
2023-04-08 18:00:00,3260,3140
2023-04-08 19:00:00,3129,3174
2023-04-08 20:00:00,2643,2481
2023-04-08 21:00:00,2202,2175
2023-04-08 22:00:00,1838,2132
2023-04-08 23:00:00,1444,1706
2023-04-09 00:00:00,694,785
2023-04-09 01:00:00,516,489
2023-04-09 02:00:00,268,404
2023-04-09 03:00:00,223,306
2023-04-09 04:00:00,92,185
2023-04-09 05:00:00,106,187
2023-04-09 06:00:00,106,205
2023-04-09 07:00:00,168,256
2023-04-09 08:00:00,343,477
2023-04-09 09:00:00,716,903
2023-04-09 10:00:00,1256,1439
2023-04-09 11:00:00,2040,2070
2023-04-09 12:00:00,2570,2445
2023-04-09 13:00:00,2900,2523
2023-04-09 14:00:00,3254,2876
2023-04-09 15:00:00,3442,2963
2023-04-09 16:00:00,3441,3103
2023-04-09 17:00:00,3452,3013
2023-04-09 18:00:00,3222,2680
2023-04-09 19:00:00,2669,2131
2023-04-09 20:00:00,2082,1708
2023-04-09 21:00:00,1855,1723
2023-04-09 22:00:00,936,1068
2023-04-09 23:00:00,415,606
2023-04-10 00:00:00,378,313
2023-04-10 01:00:00,187,187
2023-04-10 02:00:00,131,103
2023-04-10 03:00:00,86,118
2023-04-10 04:00:00,42,83
2023-04-10 05:00:00,52,135
2023-04-10 06:00:00,59,117
2023-04-10 07:00:00,144,204
2023-04-10 08:00:00,294,409
2023-04-10 09:00:00,718,954
2023-04-10 10:00:00,1471,1683
2023-04-10 11:00:00,2487,2534
2023-04-10 12:00:00,3349,3188
2023-04-10 13:00:00,3971,3666
2023-04-10 14:00:00,3853,3460
2023-04-10 15:00:00,3511,3239
2023-04-10 16:00:00,3315,2876
2023-04-10 17:00:00,3049,2613
2023-04-10 18:00:00,3038,3029
2023-04-10 19:00:00,2037,1853
2023-04-10 20:00:00,1315,1117
2023-04-10 21:00:00,1383,1235
2023-04-10 22:00:00,637,706
2023-04-10 23:00:00,309,447
2023-04-11 00:00:00,88,120
2023-04-11 01:00:00,47,85
2023-04-11 02:00:00,37,56
2023-04-11 03:00:00,21,43
2023-04-11 04:00:00,27,67
2023-04-11 05:00:00,57,136
2023-04-11 06:00:00,134,366
2023-04-11 07:00:00,369,1027
2023-04-11 08:00:00,917,2259
2023-04-11 09:00:00,1135,1775
2023-04-11 10:00:00,1771,2172
2023-04-11 11:00:00,2819,2779
2023-04-11 12:00:00,3822,2915
2023-04-11 13:00:00,282,0
2023-04-11 14:00:00,0,0
2023-04-11 15:00:00,0,0
2023-04-11 16:00:00,0,0
2023-04-11 17:00:00,0,0
2023-04-11 18:00:00,0,0
2023-04-11 19:00:00,2617,2370
2023-04-11 20:00:00,2060,2104
2023-04-11 21:00:00,1959,1959
2023-04-11 22:00:00,1134,1270
2023-04-11 23:00:00,743,975
2023-04-12 00:00:00,310,265
2023-04-12 01:00:00,111,194
2023-04-12 02:00:00,65,75
2023-04-12 03:00:00,26,69
2023-04-12 04:00:00,35,59
2023-04-12 05:00:00,78,195
2023-04-12 06:00:00,121,417
2023-04-12 07:00:00,373,895
2023-04-12 08:00:00,782,2289
2023-04-12 09:00:00,1149,1731
2023-04-12 10:00:00,1686,2207
2023-04-12 11:00:00,2625,2769
2023-04-12 12:00:00,3699,3537
2023-04-12 13:00:00,3951,3712
2023-04-12 14:00:00,3935,3407
2023-04-12 15:00:00,3882,3620
2023-04-12 16:00:00,3519,3693
2023-04-12 17:00:00,3997,4232
2023-04-12 18:00:00,3509,3559
2023-04-12 19:00:00,2477,2367
2023-04-12 20:00:00,2155,1840
2023-04-12 21:00:00,2114,2095
2023-04-12 22:00:00,1371,1508
2023-04-12 23:00:00,776,1009
2023-04-13 00:00:00,283,309
2023-04-13 01:00:00,169,142
2023-04-13 02:00:00,65,110
2023-04-13 03:00:00,32,70
2023-04-13 04:00:00,18,50
2023-04-13 05:00:00,90,216
2023-04-13 06:00:00,173,534
2023-04-13 07:00:00,423,1039
2023-04-13 08:00:00,923,2361
2023-04-13 09:00:00,1176,1943
2023-04-13 10:00:00,1988,2546
2023-04-13 11:00:00,2998,3073
2023-04-13 12:00:00,4010,3776
2023-04-13 13:00:00,4317,4044
2023-04-13 14:00:00,4060,3810
2023-04-13 15:00:00,3935,3680
2023-04-13 16:00:00,3623,3818
2023-04-13 17:00:00,3937,4442
2023-04-13 18:00:00,3555,3490
2023-04-13 19:00:00,2829,2608
2023-04-13 20:00:00,2400,2223
2023-04-13 21:00:00,2004,2091
2023-04-13 22:00:00,1478,1643
2023-04-13 23:00:00,673,663
2023-04-14 00:00:00,351,329
2023-04-14 01:00:00,167,178
2023-04-14 02:00:00,114,116
2023-04-14 03:00:00,78,91
2023-04-14 04:00:00,43,100
2023-04-14 05:00:00,73,171
2023-04-14 06:00:00,156,456
2023-04-14 07:00:00,380,840
2023-04-14 08:00:00,792,1774
2023-04-14 09:00:00,1182,1934
2023-04-14 10:00:00,1858,2322
2023-04-14 11:00:00,2495,2732
2023-04-14 12:00:00,3643,3696
2023-04-14 13:00:00,4348,3981
2023-04-14 14:00:00,4068,3858
2023-04-14 15:00:00,3803,3758
2023-04-14 16:00:00,3744,3870
2023-04-14 17:00:00,4320,4498
2023-04-14 18:00:00,3921,4052
2023-04-14 19:00:00,3687,3428
2023-04-14 20:00:00,3422,3006
2023-04-14 21:00:00,3259,3128
2023-04-14 22:00:00,2410,2541
2023-04-14 23:00:00,1488,1668
2023-04-15 00:00:00,881,887
2023-04-15 01:00:00,569,617
2023-04-15 02:00:00,346,392
2023-04-15 03:00:00,187,259
2023-04-15 04:00:00,89,134
2023-04-15 05:00:00,75,208
2023-04-15 06:00:00,101,319
2023-04-15 07:00:00,178,400
2023-04-15 08:00:00,486,981
2023-04-15 09:00:00,1103,1814
2023-04-15 10:00:00,1927,2517
2023-04-15 11:00:00,2916,3412
2023-04-15 12:00:00,3722,4038
2023-04-15 13:00:00,4276,4175
2023-04-15 14:00:00,4620,4109
2023-04-15 15:00:00,3926,3892
2023-04-15 16:00:00,3794,3884
2023-04-15 17:00:00,3903,4016
2023-04-15 18:00:00,3238,3225
2023-04-15 19:00:00,2878,2790
2023-04-15 20:00:00,2128,2144
2023-04-15 21:00:00,1753,2296
2023-04-15 22:00:00,1379,1953
2023-04-15 23:00:00,928,1445
2023-04-16 00:00:00,468,707
2023-04-16 01:00:00,548,509
2023-04-16 02:00:00,256,385
2023-04-16 03:00:00,229,381
2023-04-16 04:00:00,92,174
2023-04-16 05:00:00,82,173
2023-04-16 06:00:00,104,230
2023-04-16 07:00:00,145,336
2023-04-16 08:00:00,286,463
2023-04-16 09:00:00,682,1027
2023-04-16 10:00:00,1364,1667
2023-04-16 11:00:00,2346,2587
2023-04-16 12:00:00,2893,2974
2023-04-16 13:00:00,3193,3228
2023-04-16 14:00:00,3348,3303
2023-04-16 15:00:00,3536,3586
2023-04-16 16:00:00,3857,3883
2023-04-16 17:00:00,3448,3205
2023-04-16 18:00:00,3104,3012
2023-04-16 19:00:00,2517,2403
2023-04-16 20:00:00,2034,1960
2023-04-16 21:00:00,1566,1840
2023-04-16 22:00:00,845,993
2023-04-16 23:00:00,369,453
2023-04-17 00:00:00,196,259
2023-04-17 01:00:00,72,73
2023-04-17 02:00:00,71,69
2023-04-17 03:00:00,48,76
2023-04-17 04:00:00,21,64
2023-04-17 05:00:00,55,215
2023-04-17 06:00:00,167,486
2023-04-17 07:00:00,392,969
2023-04-17 08:00:00,914,2195
2023-04-17 09:00:00,1210,1878
2023-04-17 10:00:00,1859,2361
2023-04-17 11:00:00,2687,2747
2023-04-17 12:00:00,3507,3430
2023-04-17 13:00:00,3910,3641
2023-04-17 14:00:00,3745,3480
2023-04-17 15:00:00,3474,3322
2023-04-17 16:00:00,3302,3338
2023-04-17 17:00:00,3036,3670
2023-04-17 18:00:00,2435,2428
2023-04-17 19:00:00,1846,1803
2023-04-17 20:00:00,1510,1427
2023-04-17 21:00:00,1077,1128
2023-04-17 22:00:00,744,802
2023-04-17 23:00:00,285,332
2023-04-18 00:00:00,109,252
2023-04-18 01:00:00,69,200
2023-04-18 02:00:00,52,122
2023-04-18 03:00:00,20,86
2023-04-18 04:00:00,21,50
2023-04-18 05:00:00,83,226
2023-04-18 06:00:00,198,546
2023-04-18 07:00:00,459,1146
2023-04-18 08:00:00,988,2495
2023-04-18 09:00:00,1157,2020
2023-04-18 10:00:00,1618,2077
2023-04-18 11:00:00,2582,2610
2023-04-18 12:00:00,3802,3574
2023-04-18 13:00:00,3987,3773
2023-04-18 14:00:00,3649,3559
2023-04-18 15:00:00,3502,3398
2023-04-18 16:00:00,3414,3621
2023-04-18 17:00:00,4024,4513
2023-04-18 18:00:00,3310,3374
2023-04-18 19:00:00,2879,2621
2023-04-18 20:00:00,2402,2218
2023-04-18 21:00:00,1952,2122
2023-04-18 22:00:00,1121,1333
2023-04-18 23:00:00,514,536
2023-04-19 00:00:00,255,272
2023-04-19 01:00:00,89,116
2023-04-19 02:00:00,66,47
2023-04-19 03:00:00,37,89
2023-04-19 04:00:00,40,69
2023-04-19 05:00:00,55,217
2023-04-19 06:00:00,200,707
2023-04-19 07:00:00,471,1182
2023-04-19 08:00:00,913,2437
2023-04-19 09:00:00,1229,1926
2023-04-19 10:00:00,1815,2203
2023-04-19 11:00:00,2844,2799
2023-04-19 12:00:00,3752,3523
2023-04-19 13:00:00,4015,3666
2023-04-19 14:00:00,3627,2621
2023-04-19 15:00:00,3501,3536
2023-04-19 16:00:00,3451,3577
2023-04-19 17:00:00,3892,4331
2023-04-19 18:00:00,3171,3160
2023-04-19 19:00:00,2522,2348
2023-04-19 20:00:00,2224,1913
2023-04-19 21:00:00,1677,1863
2023-04-19 22:00:00,1260,1410
2023-04-19 23:00:00,628,622
2023-04-20 00:00:00,375,271
2023-04-20 01:00:00,120,161
2023-04-20 02:00:00,37,58
2023-04-20 03:00:00,48,76
2023-04-20 04:00:00,27,122
2023-04-20 05:00:00,75,197
2023-04-20 06:00:00,174,514
2023-04-20 07:00:00,505,1105
2023-04-20 08:00:00,1025,2387
2023-04-20 09:00:00,1134,2130
2023-04-20 10:00:00,1789,2161
2023-04-20 11:00:00,2744,2702
2023-04-20 12:00:00,3678,3485
2023-04-20 13:00:00,4143,3959
2023-04-20 14:00:00,3913,3707
2023-04-20 15:00:00,3676,3570
2023-04-20 16:00:00,3490,3689
2023-04-20 17:00:00,3988,4323
2023-04-20 18:00:00,3460,3660
2023-04-20 19:00:00,2955,2756
2023-04-20 20:00:00,2468,2308
2023-04-20 21:00:00,1993,2441
2023-04-20 22:00:00,1113,1542
2023-04-20 23:00:00,596,784
2023-04-21 00:00:00,246,351
2023-04-21 01:00:00,241,193
2023-04-21 02:00:00,74,104
2023-04-21 03:00:00,65,105
2023-04-21 04:00:00,56,134
2023-04-21 05:00:00,67,189
2023-04-21 06:00:00,168,519
2023-04-21 07:00:00,412,948
2023-04-21 08:00:00,818,1896
2023-04-21 09:00:00,1106,1907
2023-04-21 10:00:00,1759,2190
2023-04-21 11:00:00,2581,2855
2023-04-21 12:00:00,3577,3328
2023-04-21 13:00:00,3845,3637
2023-04-21 14:00:00,3834,3596
2023-04-21 15:00:00,3630,3522
2023-04-21 16:00:00,3702,3740
2023-04-21 17:00:00,4371,4585
2023-04-21 18:00:00,3767,3866
2023-04-21 19:00:00,3647,3380
2023-04-21 20:00:00,3352,2860
2023-04-21 21:00:00,2702,2923
2023-04-21 22:00:00,2339,2723
2023-04-21 23:00:00,1710,1964
2023-04-22 00:00:00,891,989
2023-04-22 01:00:00,623,634
2023-04-22 02:00:00,348,392
2023-04-22 03:00:00,195,255
2023-04-22 04:00:00,96,154
2023-04-22 05:00:00,63,167
2023-04-22 06:00:00,91,280
2023-04-22 07:00:00,164,394
2023-04-22 08:00:00,431,822
2023-04-22 09:00:00,1028,1433
2023-04-22 10:00:00,1773,2014
2023-04-22 11:00:00,2755,2929
2023-04-22 12:00:00,3488,3495
2023-04-22 13:00:00,4344,3933
2023-04-22 14:00:00,4482,3950
2023-04-22 15:00:00,5035,4556
2023-04-22 16:00:00,4291,4359
2023-04-22 17:00:00,4416,4281
2023-04-22 18:00:00,4288,4000
2023-04-22 19:00:00,3878,3766
2023-04-22 20:00:00,3241,2874
2023-04-22 21:00:00,2619,2622
2023-04-22 22:00:00,2357,2592
2023-04-22 23:00:00,1770,2055
2023-04-23 00:00:00,917,1148
2023-04-23 01:00:00,923,951
2023-04-23 02:00:00,498,664
2023-04-23 03:00:00,322,533
2023-04-23 04:00:00,106,221
2023-04-23 05:00:00,112,203
2023-04-23 06:00:00,111,264
2023-04-23 07:00:00,202,300
2023-04-23 08:00:00,372,577
2023-04-23 09:00:00,823,1046
2023-04-23 10:00:00,1457,1774
2023-04-23 11:00:00,2462,2497
2023-04-23 12:00:00,3218,3223
2023-04-23 13:00:00,3364,3407
2023-04-23 14:00:00,3754,3372
2023-04-23 15:00:00,3931,3642
2023-04-23 16:00:00,3895,3815
2023-04-23 17:00:00,3523,3244
2023-04-23 18:00:00,3550,3234
2023-04-23 19:00:00,2761,2661
2023-04-23 20:00:00,2345,2070
2023-04-23 21:00:00,1639,1860
2023-04-23 22:00:00,1109,1450
2023-04-23 23:00:00,720,575
2023-04-24 00:00:00,477,289
2023-04-24 01:00:00,339,176
2023-04-24 02:00:00,215,87
2023-04-24 03:00:00,226,96
2023-04-24 04:00:00,132,94
2023-04-24 05:00:00,160,189
2023-04-24 06:00:00,251,334
2023-04-24 07:00:00,365,904
2023-04-24 08:00:00,898,1744
2023-04-24 09:00:00,1321,1914
2023-04-24 10:00:00,2104,2343
2023-04-24 11:00:00,2834,2776
2023-04-24 12:00:00,3700,3460
2023-04-24 13:00:00,4112,3714
2023-04-24 14:00:00,3931,3643
2023-04-24 15:00:00,3695,3600
2023-04-24 16:00:00,3389,3459
2023-04-24 17:00:00,3430,3884
2023-04-24 18:00:00,2914,3178
2023-04-24 19:00:00,2088,2118
2023-04-24 20:00:00,1624,1649
2023-04-24 21:00:00,1341,1449
2023-04-24 22:00:00,1651,2269
2023-04-24 23:00:00,921,1288
2023-04-25 00:00:00,301,456
2023-04-25 01:00:00,260,407
2023-04-25 02:00:00,149,272
2023-04-25 03:00:00,92,179
2023-04-25 04:00:00,94,247
2023-04-25 05:00:00,70,223
2023-04-25 06:00:00,278,662
2023-04-25 07:00:00,1340,1699
2023-04-25 08:00:00,1028,2192
2023-04-25 09:00:00,1252,2218
2023-04-25 10:00:00,1885,2473
2023-04-25 11:00:00,3552,3577
2023-04-25 12:00:00,3969,4245
2023-04-25 13:00:00,4045,4155
2023-04-25 14:00:00,3788,3599
2023-04-25 15:00:00,3359,3151
2023-04-25 16:00:00,2950,3087
2023-04-25 17:00:00,2767,2664
2023-04-25 18:00:00,2436,2959
2023-04-25 19:00:00,1889,1978
2023-04-25 20:00:00,1296,1361
2023-04-25 21:00:00,1022,1427
2023-04-25 22:00:00,727,862
2023-04-25 23:00:00,284,408
2023-04-26 00:00:00,120,162
2023-04-26 01:00:00,72,101
2023-04-26 02:00:00,39,64
2023-04-26 03:00:00,11,86
2023-04-26 04:00:00,25,55
2023-04-26 05:00:00,61,219
2023-04-26 06:00:00,153,522
2023-04-26 07:00:00,469,1044
2023-04-26 08:00:00,1059,2525
2023-04-26 09:00:00,1166,1998
2023-04-26 10:00:00,1792,2080
2023-04-26 11:00:00,2298,2479
2023-04-26 12:00:00,3200,3269
2023-04-26 13:00:00,3341,3375
2023-04-26 14:00:00,2797,2869
2023-04-26 15:00:00,2809,2905
2023-04-26 16:00:00,2653,2952
2023-04-26 17:00:00,2994,3652
2023-04-26 18:00:00,2435,2771
2023-04-26 19:00:00,1453,1635
2023-04-26 20:00:00,1203,1292
2023-04-26 21:00:00,979,1200
2023-04-26 22:00:00,611,777
2023-04-26 23:00:00,246,465
2023-04-27 00:00:00,112,147
2023-04-27 01:00:00,58,100
2023-04-27 02:00:00,28,104
2023-04-27 03:00:00,31,83
2023-04-27 04:00:00,29,67
2023-04-27 05:00:00,65,216
2023-04-27 06:00:00,208,573
2023-04-27 07:00:00,428,1183
2023-04-27 08:00:00,1077,2462
2023-04-27 09:00:00,1201,2199
2023-04-27 10:00:00,1395,1859
2023-04-27 11:00:00,1855,2182
2023-04-27 12:00:00,2889,2879
2023-04-27 13:00:00,3039,3057
2023-04-27 14:00:00,2800,2868
2023-04-27 15:00:00,2851,2989
2023-04-27 16:00:00,2731,3197
2023-04-27 17:00:00,3273,3807
2023-04-27 18:00:00,2785,3106
2023-04-27 19:00:00,1947,2220
2023-04-27 20:00:00,1555,1713
2023-04-27 21:00:00,1202,1522
2023-04-27 22:00:00,988,1218
2023-04-27 23:00:00,507,785
2023-04-28 00:00:00,207,258
2023-04-28 01:00:00,122,141
2023-04-28 02:00:00,47,67
2023-04-28 03:00:00,31,62
2023-04-28 04:00:00,55,80
2023-04-28 05:00:00,58,199
2023-04-28 06:00:00,180,562
2023-04-28 07:00:00,393,932
2023-04-28 08:00:00,907,1998
2023-04-28 09:00:00,1147,2119
2023-04-28 10:00:00,1630,2305
2023-04-28 11:00:00,2219,2273
2023-04-28 12:00:00,3061,3106
2023-04-28 13:00:00,3250,2892
2023-04-28 14:00:00,2918,2773
2023-04-28 15:00:00,2520,2488
2023-04-28 16:00:00,2321,2695
2023-04-28 17:00:00,2733,3334
2023-04-28 18:00:00,2419,2779
2023-04-28 19:00:00,2165,2227
2023-04-28 20:00:00,2065,1926
2023-04-28 21:00:00,1760,2013
2023-04-28 22:00:00,1774,1969
2023-04-28 23:00:00,1363,1906
2023-04-29 00:00:00,605,792
2023-04-29 01:00:00,356,481
2023-04-29 02:00:00,200,307
2023-04-29 03:00:00,147,221
2023-04-29 04:00:00,65,181
2023-04-29 05:00:00,75,225
2023-04-29 06:00:00,89,316
2023-04-29 07:00:00,166,345
2023-04-29 08:00:00,513,869
2023-04-29 09:00:00,1144,1628
2023-04-29 10:00:00,1814,2218
2023-04-29 11:00:00,2719,2832
2023-04-29 12:00:00,3737,3665
2023-04-29 13:00:00,3955,3740
2023-04-29 14:00:00,4253,4084
2023-04-29 15:00:00,4737,4116
2023-04-29 16:00:00,4100,3981
2023-04-29 17:00:00,3639,3500
2023-04-29 18:00:00,3030,3307
2023-04-29 19:00:00,2687,2827
2023-04-29 20:00:00,2072,2166
2023-04-29 21:00:00,1933,1972
2023-04-29 22:00:00,1591,1904
2023-04-29 23:00:00,1054,1370
2023-04-30 00:00:00,694,881
2023-04-30 01:00:00,480,648
2023-04-30 02:00:00,308,454
2023-04-30 03:00:00,223,288
2023-04-30 04:00:00,66,123
2023-04-30 05:00:00,80,172
2023-04-30 06:00:00,103,254
2023-04-30 07:00:00,199,313
2023-04-30 08:00:00,388,612
2023-04-30 09:00:00,834,1177
2023-04-30 10:00:00,1591,1951
2023-04-30 11:00:00,2544,2708
2023-04-30 12:00:00,3286,3481
2023-04-30 13:00:00,3361,3300
2023-04-30 14:00:00,3539,3400
2023-04-30 15:00:00,3636,3494
2023-04-30 16:00:00,3734,3928
2023-04-30 17:00:00,2917,2949
2023-04-30 18:00:00,2393,2396
2023-04-30 19:00:00,1987,1795
2023-04-30 20:00:00,1357,1514
2023-04-30 21:00:00,1176,1107
2023-04-30 22:00:00,612,732
2023-04-30 23:00:00,275,399
